ts,app,status,elapsed_ms,error
2026-04-02T12:46:14Z,memlabapp-1,200,1078,
2026-04-02T12:46:15Z,memlabapp-2,200,1007,
2026-04-02T12:46:23Z,memlabapp-1,200,806,
2026-04-02T12:46:25Z,memlabapp-2,200,1093,
2026-04-02T12:46:34Z,memlabapp-1,200,1185,
2026-04-02T12:46:35Z,memlabapp-2,200,1014,
2026-04-02T12:46:41Z,memlabapp-1,200,998,
2026-04-02T12:46:42Z,memlabapp-2,200,970,
2026-04-02T12:46:51Z,memlabapp-1,200,1031,
2026-04-02T12:46:52Z,memlabapp-2,200,883,
2026-04-02T12:47:01Z,memlabapp-1,200,928,
2026-04-02T12:47:02Z,memlabapp-2,200,1023,
2026-04-02T12:47:08Z,memlabapp-1,200,906,
2026-04-02T12:47:09Z,memlabapp-2,200,995,
2026-04-02T12:47:18Z,memlabapp-1,200,899,
2026-04-02T12:47:19Z,memlabapp-2,200,1041,
2026-04-02T12:47:28Z,memlabapp-1,200,816,
2026-04-02T12:47:29Z,memlabapp-2,200,978,
2026-04-02T12:47:38Z,memlabapp-1,200,993,
2026-04-02T12:47:36Z,memlabapp-2,200,-1625,
2026-04-02T12:47:45Z,memlabapp-1,200,1041,
2026-04-02T12:47:46Z,memlabapp-2,200,908,
2026-04-02T12:47:55Z,memlabapp-1,200,1046,
2026-04-02T12:47:56Z,memlabapp-2,200,908,
2026-04-02T12:48:05Z,memlabapp-1,200,921,
2026-04-02T12:48:06Z,memlabapp-2,200,909,
2026-04-02T12:48:13Z,memlabapp-1,200,1008,
2026-04-02T12:48:14Z,memlabapp-2,200,1007,
2026-04-02T12:48:23Z,memlabapp-1,200,1013,
2026-04-02T12:48:24Z,memlabapp-2,200,982,
2026-04-02T12:48:33Z,memlabapp-1,200,1075,
2026-04-02T12:48:34Z,memlabapp-2,200,1055,
2026-04-02T12:48:40Z,memlabapp-1,200,960,
2026-04-02T12:48:41Z,memlabapp-2,200,1006,
2026-04-02T12:48:50Z,memlabapp-1,200,849,
2026-04-02T12:48:51Z,memlabapp-2,200,1128,
2026-04-02T12:49:00Z,memlabapp-1,200,976,
2026-04-02T12:49:01Z,memlabapp-2,200,896,
2026-04-02T12:49:07Z,memlabapp-1,200,934,
2026-04-02T12:49:08Z,memlabapp-2,200,968,
2026-04-02T12:49:17Z,memlabapp-1,200,977,
2026-04-02T12:49:18Z,memlabapp-2,200,845,
2026-04-02T12:49:28Z,memlabapp-1,200,1470,
2026-04-02T12:49:29Z,memlabapp-2,200,1167,
2026-04-02T12:49:35Z,memlabapp-1,200,-1525,
2026-04-02T12:49:36Z,memlabapp-2,200,976,
2026-04-02T12:49:45Z,memlabapp-1,200,827,
2026-04-02T12:49:46Z,memlabapp-2,200,757,
2026-04-02T12:49:55Z,memlabapp-1,200,876,
2026-04-02T12:49:56Z,memlabapp-2,200,941,
2026-04-02T12:50:05Z,memlabapp-1,200,933,
2026-04-02T12:50:06Z,memlabapp-2,200,978,
2026-04-02T12:50:12Z,memlabapp-1,200,971,
2026-04-02T12:50:13Z,memlabapp-2,200,922,
2026-04-02T12:50:22Z,memlabapp-1,200,707,
2026-04-02T12:50:23Z,memlabapp-2,200,938,
2026-04-02T12:50:32Z,memlabapp-1,200,995,
2026-04-02T12:50:32Z,memlabapp-2,200,831,
2026-04-02T12:50:39Z,memlabapp-1,200,877,
2026-04-02T12:50:40Z,memlabapp-2,200,928,
