ts,app,status,elapsed_ms,error
2026-04-02T11:40:33Z,memlabapp-1,200,998,
2026-04-02T11:40:34Z,memlabapp-2,200,967,
2026-04-02T11:40:35Z,memlabapp-3,200,758,
2026-04-02T11:40:36Z,memlabapp-4,200,1044,
2026-04-02T11:40:45Z,memlabapp-1,200,1031,
2026-04-02T11:40:46Z,memlabapp-2,200,959,
2026-04-02T11:40:47Z,memlabapp-3,200,1006,
2026-04-02T11:40:48Z,memlabapp-4,200,1060,
2026-04-02T11:40:57Z,memlabapp-1,200,906,
2026-04-02T11:40:58Z,memlabapp-2,200,909,
2026-04-02T11:40:59Z,memlabapp-3,200,931,
2026-04-02T11:41:00Z,memlabapp-4,200,887,
2026-04-02T11:41:06Z,memlabapp-1,200,1005,
2026-04-02T11:41:07Z,memlabapp-2,200,984,
2026-04-02T11:41:08Z,memlabapp-3,200,902,
2026-04-02T11:41:09Z,memlabapp-4,200,1041,
2026-04-02T11:41:18Z,memlabapp-1,200,1028,
2026-04-02T11:41:19Z,memlabapp-2,200,1063,
2026-04-02T11:41:20Z,memlabapp-3,200,974,
2026-04-02T11:41:21Z,memlabapp-4,200,967,
2026-04-02T11:41:28Z,memlabapp-1,200,-1589,
2026-04-02T11:41:29Z,memlabapp-2,200,961,
2026-04-02T11:41:30Z,memlabapp-3,200,992,
2026-04-02T11:41:31Z,memlabapp-4,200,1092,
2026-04-02T11:41:40Z,memlabapp-1,200,924,
2026-04-02T11:41:41Z,memlabapp-2,200,1015,
2026-04-02T11:41:42Z,memlabapp-3,200,1104,
2026-04-02T11:41:43Z,memlabapp-4,200,1030,
2026-04-02T11:41:52Z,memlabapp-1,200,983,
2026-04-02T11:41:53Z,memlabapp-2,200,973,
2026-04-02T11:41:54Z,memlabapp-3,200,974,
2026-04-02T11:41:55Z,memlabapp-4,200,1012,
2026-04-02T11:42:01Z,memlabapp-1,200,982,
2026-04-02T11:42:02Z,memlabapp-2,200,859,
2026-04-02T11:42:03Z,memlabapp-3,200,1170,
2026-04-02T11:42:04Z,memlabapp-4,200,918,
2026-04-02T11:42:13Z,memlabapp-1,200,938,
2026-04-02T11:42:14Z,memlabapp-2,200,992,
2026-04-02T11:42:15Z,memlabapp-3,200,1071,
2026-04-02T11:42:16Z,memlabapp-4,200,1138,
2026-04-02T11:42:25Z,memlabapp-1,200,844,
2026-04-02T11:42:26Z,memlabapp-2,200,921,
2026-04-02T11:42:27Z,memlabapp-3,200,821,
2026-04-02T11:42:28Z,memlabapp-4,200,953,
2026-04-02T11:42:34Z,memlabapp-1,200,850,
2026-04-02T11:42:35Z,memlabapp-2,200,931,
2026-04-02T11:42:36Z,memlabapp-3,200,876,
2026-04-02T11:42:37Z,memlabapp-4,200,956,
2026-04-02T11:42:46Z,memlabapp-1,200,971,
2026-04-02T11:42:47Z,memlabapp-2,200,1007,
2026-04-02T11:42:48Z,memlabapp-3,200,963,
2026-04-02T11:42:49Z,memlabapp-4,200,1181,
2026-04-02T11:42:58Z,memlabapp-1,200,932,
2026-04-02T11:42:59Z,memlabapp-2,200,922,
2026-04-02T11:42:58Z,memlabapp-3,200,-1626,
2026-04-02T11:42:58Z,memlabapp-4,200,863,
2026-04-02T11:43:07Z,memlabapp-1,200,888,
2026-04-02T11:43:08Z,memlabapp-2,200,921,
2026-04-02T11:43:09Z,memlabapp-3,200,921,
2026-04-02T11:43:10Z,memlabapp-4,200,912,
2026-04-02T11:43:19Z,memlabapp-1,200,1100,
2026-04-02T11:43:20Z,memlabapp-2,200,999,
2026-04-02T11:43:21Z,memlabapp-3,200,958,
2026-04-02T11:43:22Z,memlabapp-4,200,885,
2026-04-02T11:43:29Z,memlabapp-1,200,990,
2026-04-02T11:43:30Z,memlabapp-2,200,967,
2026-04-02T11:43:31Z,memlabapp-3,200,951,
2026-04-02T11:43:31Z,memlabapp-4,200,827,
2026-04-02T11:43:40Z,memlabapp-1,200,957,
2026-04-02T11:43:41Z,memlabapp-2,200,876,
2026-04-02T11:43:42Z,memlabapp-3,200,934,
2026-04-02T11:43:43Z,memlabapp-4,200,894,
2026-04-02T11:43:52Z,memlabapp-1,200,934,
2026-04-02T11:43:53Z,memlabapp-2,200,930,
2026-04-02T11:43:54Z,memlabapp-3,200,938,
2026-04-02T11:43:55Z,memlabapp-4,200,970,
2026-04-02T11:44:01Z,memlabapp-1,200,914,
2026-04-02T11:44:02Z,memlabapp-2,200,865,
2026-04-02T11:44:03Z,memlabapp-3,200,971,
2026-04-02T11:44:04Z,memlabapp-4,200,962,
2026-04-02T11:44:13Z,memlabapp-1,200,969,
2026-04-02T11:44:14Z,memlabapp-2,200,966,
2026-04-02T11:44:15Z,memlabapp-3,200,886,
2026-04-02T11:44:16Z,memlabapp-4,200,886,
2026-04-02T11:44:25Z,memlabapp-1,200,877,
2026-04-02T11:44:26Z,memlabapp-2,200,898,
2026-04-02T11:44:26Z,memlabapp-3,200,823,
2026-04-02T11:44:27Z,memlabapp-4,200,916,
2026-04-02T11:44:34Z,memlabapp-1,200,1032,
