ts,app,status,elapsed_ms,error
2026-04-02T09:37:53Z,memlabapp-1,200,1016,
2026-04-02T09:37:54Z,memlabapp-2,200,838,
2026-04-02T09:37:54Z,memlabapp-3,200,833,
2026-04-02T09:37:55Z,memlabapp-4,200,850,
2026-04-02T09:38:04Z,memlabapp-1,200,871,
2026-04-02T09:38:05Z,memlabapp-2,200,931,
2026-04-02T09:38:06Z,memlabapp-3,200,856,
2026-04-02T09:38:07Z,memlabapp-4,200,753,
2026-04-02T09:38:14Z,memlabapp-1,200,1034,
2026-04-02T09:38:15Z,memlabapp-2,200,880,
2026-04-02T09:38:15Z,memlabapp-3,200,872,
2026-04-02T09:38:16Z,memlabapp-4,200,961,
2026-04-02T09:38:25Z,memlabapp-1,200,931,
2026-04-02T09:38:27Z,memlabapp-2,200,1099,
2026-04-02T09:38:28Z,memlabapp-3,200,967,
2026-04-02T09:38:28Z,memlabapp-4,200,898,
2026-04-02T09:38:37Z,memlabapp-1,200,1002,
2026-04-02T09:38:38Z,memlabapp-2,200,925,
2026-04-02T09:38:37Z,memlabapp-3,200,-1053,
2026-04-02T09:38:38Z,memlabapp-4,200,914,
2026-04-02T09:38:47Z,memlabapp-1,200,982,
2026-04-02T09:38:48Z,memlabapp-2,200,1142,
2026-04-02T09:38:49Z,memlabapp-3,200,963,
2026-04-02T09:38:50Z,memlabapp-4,200,820,
2026-04-02T09:38:59Z,memlabapp-1,200,910,
2026-04-02T09:39:00Z,memlabapp-2,200,917,
2026-04-02T09:39:01Z,memlabapp-3,200,984,
2026-04-02T09:39:02Z,memlabapp-4,200,867,
2026-04-02T09:39:09Z,memlabapp-1,200,954,
2026-04-02T09:39:10Z,memlabapp-2,200,880,
2026-04-02T09:39:11Z,memlabapp-3,200,979,
2026-04-02T09:39:12Z,memlabapp-4,200,965,
2026-04-02T09:39:21Z,memlabapp-1,200,1035,
2026-04-02T09:39:22Z,memlabapp-2,200,1039,
2026-04-02T09:39:23Z,memlabapp-3,200,1097,
2026-04-02T09:39:24Z,memlabapp-4,200,853,
2026-04-02T09:39:33Z,memlabapp-1,200,902,
2026-04-02T09:39:34Z,memlabapp-2,200,1046,
2026-04-02T09:39:35Z,memlabapp-3,200,1057,
2026-04-02T09:39:36Z,memlabapp-4,200,974,
2026-04-02T09:39:43Z,memlabapp-1,200,1142,
2026-04-02T09:39:44Z,memlabapp-2,200,841,
2026-04-02T09:39:45Z,memlabapp-3,200,926,
2026-04-02T09:39:46Z,memlabapp-4,200,1123,
2026-04-02T09:39:55Z,memlabapp-1,200,1016,
2026-04-02T09:39:56Z,memlabapp-2,200,1094,
2026-04-02T09:39:57Z,memlabapp-3,200,1123,
2026-04-02T09:39:58Z,memlabapp-4,200,1035,
2026-04-02T09:40:07Z,memlabapp-1,200,777,
2026-04-02T09:40:08Z,memlabapp-2,200,963,
2026-04-02T09:40:09Z,memlabapp-3,200,1012,
2026-04-02T09:40:10Z,memlabapp-4,200,910,
2026-04-02T09:40:17Z,memlabapp-1,200,1029,
2026-04-02T09:40:18Z,memlabapp-2,200,975,
2026-04-02T09:40:19Z,memlabapp-3,200,1030,
2026-04-02T09:40:20Z,memlabapp-4,200,967,
2026-04-02T09:40:29Z,memlabapp-1,200,1023,
2026-04-02T09:40:30Z,memlabapp-2,200,966,
2026-04-02T09:40:31Z,memlabapp-3,200,1014,
2026-04-02T09:40:32Z,memlabapp-4,200,1111,
2026-04-02T09:40:41Z,memlabapp-1,200,1084,
2026-04-02T09:40:40Z,memlabapp-2,200,-1192,
2026-04-02T09:40:41Z,memlabapp-3,200,924,
2026-04-02T09:40:42Z,memlabapp-4,200,1128,
2026-04-02T09:40:51Z,memlabapp-1,200,979,
2026-04-02T09:40:52Z,memlabapp-2,200,1022,
2026-04-02T09:40:53Z,memlabapp-3,200,1030,
2026-04-02T09:40:54Z,memlabapp-4,200,1074,
2026-04-02T09:41:03Z,memlabapp-1,200,971,
2026-04-02T09:41:04Z,memlabapp-2,200,910,
2026-04-02T09:41:05Z,memlabapp-3,200,893,
2026-04-02T09:41:06Z,memlabapp-4,200,813,
2026-04-02T09:41:13Z,memlabapp-1,200,1110,
2026-04-02T09:41:14Z,memlabapp-2,200,1014,
2026-04-02T09:41:15Z,memlabapp-3,200,1062,
2026-04-02T09:41:16Z,memlabapp-4,200,1051,
2026-04-02T09:41:25Z,memlabapp-1,200,889,
2026-04-02T09:41:26Z,memlabapp-2,200,933,
2026-04-02T09:41:27Z,memlabapp-3,200,1024,
2026-04-02T09:41:28Z,memlabapp-4,200,1051,
2026-04-02T09:41:37Z,memlabapp-1,200,1052,
2026-04-02T09:41:38Z,memlabapp-2,200,1130,
2026-04-02T09:41:39Z,memlabapp-3,200,992,
2026-04-02T09:41:40Z,memlabapp-4,200,943,
2026-04-02T09:41:47Z,memlabapp-1,200,1030,
2026-04-02T09:41:48Z,memlabapp-2,200,824,
2026-04-02T09:41:49Z,memlabapp-3,200,995,
2026-04-02T09:41:50Z,memlabapp-4,200,984,
2026-04-02T09:41:59Z,memlabapp-1,200,957,
2026-04-02T09:42:00Z,memlabapp-2,200,944,
2026-04-02T09:42:01Z,memlabapp-3,200,876,
2026-04-02T09:42:02Z,memlabapp-4,200,983,
2026-04-02T09:42:10Z,memlabapp-1,200,876,
2026-04-02T09:42:11Z,memlabapp-2,200,1031,
2026-04-02T09:42:12Z,memlabapp-3,200,805,
2026-04-02T09:42:11Z,memlabapp-4,200,-1123,
2026-04-02T09:42:20Z,memlabapp-1,200,985,
2026-04-02T09:42:21Z,memlabapp-2,200,1108,
2026-04-02T09:42:22Z,memlabapp-3,200,881,
2026-04-02T09:42:23Z,memlabapp-4,200,863,
2026-04-02T09:42:32Z,memlabapp-1,200,936,
2026-04-02T09:42:33Z,memlabapp-2,200,984,
2026-04-02T09:42:34Z,memlabapp-3,200,1051,
2026-04-02T09:42:35Z,memlabapp-4,200,977,
2026-04-02T09:42:42Z,memlabapp-1,200,861,
2026-04-02T09:42:43Z,memlabapp-2,200,995,
2026-04-02T09:42:44Z,memlabapp-3,200,1051,
2026-04-02T09:42:45Z,memlabapp-4,200,970,
2026-04-02T09:42:54Z,memlabapp-1,200,948,
2026-04-02T09:42:55Z,memlabapp-2,200,916,
2026-04-02T09:42:56Z,memlabapp-3,200,1057,
2026-04-02T09:42:57Z,memlabapp-4,200,927,
2026-04-02T09:43:05Z,memlabapp-1,200,794,
2026-04-02T09:43:06Z,memlabapp-2,200,815,
2026-04-02T09:43:07Z,memlabapp-3,200,881,
2026-04-02T09:43:08Z,memlabapp-4,200,869,
2026-04-02T09:43:15Z,memlabapp-1,200,962,
2026-04-02T09:43:16Z,memlabapp-2,200,942,
2026-04-02T09:43:17Z,memlabapp-3,200,1048,
2026-04-02T09:43:18Z,memlabapp-4,200,883,
